subject,probe,structure,threshold_s,early_area_norm,late_area_norm,incline_norm,incline_ratio,n_intrusions_le_thr,nod_intrusion_off_area
CNPIX8-Allan,imec0,M2,2,0.010865640096618358,0.0280655193236715,0.01719987922705314,2.5829605135187705,2,7.776086956521739
CNPIX8-Allan,imec0,M2,3,0.010865640096618358,0.0280655193236715,0.01719987922705314,2.5829605135187705,5,21.006521739130438
CNPIX8-Allan,imec0,M2,4,0.010865640096618358,0.03341425120772947,0.022548611111111113,3.075221607802818,8,40.26195652173914
CNPIX8-Allan,imec0,M2,5,0.010865640096618358,0.03567844202898551,0.024812801932367155,3.283602411982105,9,48.413043478260875
CNPIX8-Allan,imec0,M2,6,0.010865640096618358,0.03804679951690822,0.02718115942028986,3.501570011393003,12,76.825
CNPIX8-Allan,imec0,M2,7,0.010865640096618358,0.03804679951690822,0.02718115942028986,3.501570011393003,13,87.69782608695652
CNPIX8-Allan,imec0,M2,8,0.010865640096618358,0.03804679951690822,0.02718115942028986,3.501570011393003,14,101.40978260869565
CNPIX8-Allan,imec0,M2,9,0.010865640096618358,0.03804679951690822,0.02718115942028986,3.501570011393003,16,125.95652173913044
CNPIX8-Allan,imec0,M2,10,0.010865640096618358,0.04148188405797102,0.030616243961352662,3.8177119515380555,18,160.76304347826084
CNPIX8-Allan,imec0,PrL,0,0.030170392953929537,0.03878319783197832,0.008612804878048781,1.2854720815602438,0,0.0
CNPIX8-Allan,imec0,PrL,1,0.030170392953929537,0.03878319783197832,0.008612804878048781,1.2854720815602438,0,0.0
CNPIX8-Allan,imec0,PrL,2,0.030170392953929537,0.03959180216802168,0.009421409214092145,1.312273334605841,2,4.682926829268293
CNPIX8-Allan,imec0,PrL,3,0.030170392953929537,0.03959180216802168,0.009421409214092145,1.312273334605841,5,13.31219512195122
CNPIX8-Allan,imec0,PrL,4,0.030170392953929537,0.042869579945799464,0.012699186991869928,1.4209155317022786,8,25.112195121951224
CNPIX8-Allan,imec0,PrL,5,0.030170392953929537,0.04440921409214092,0.014238821138211386,1.4719468241581803,9,30.654878048780493
CNPIX8-Allan,imec0,PrL,6,0.030170392953929537,0.04584620596205963,0.01567581300813009,1.5195760304503556,12,48.300000000000004
CNPIX8-Allan,imec0,PrL,7,0.030170392953929537,0.04584620596205963,0.01567581300813009,1.5195760304503556,13,57.84329268292684
CNPIX8-Allan,imec0,PrL,8,0.030170392953929537,0.04584620596205963,0.01567581300813009,1.5195760304503556,14,66.12560975609757
